Ortalama Kapanış Fiyatı (USD),Ortalama Kapanış Fiyatı Etiket (USD),Hareketli Ortalama Yakınsaklık Diverjansı,Stokastik Osilatörü,Ortalama Gerçek Fark
824.68525,817.445,-1.8951278516443826,33.738030598994264,32.89190000000019
817.445,813.1,-1.8683674213598138,23.490962564987356,25.504950000000008
813.1,814.1047,-2.003181535992435,19.298387812682137,13.44500000000005
814.1047,780.93325,-1.9539768257761325,20.267842324452182,18.951099999999997
780.93325,808.4,-3.6815277362897696,0.0,44.00554999999997
808.4,812.2001,-3.1470679146784795,32.260025193280455,32.566749999999956
812.2001,756.11775,-2.4285564953753878,52.54844456395709,65.9529
756.11775,791.5,-5.118684696901293,0.0,75.9712999999997
791.5,797.105,-4.650988768558117,41.96361329039996,57.47770000000003
797.105,801.9688499999999,-3.79128206746382,51.2871126071028,19.69614999999999
801.9688499999999,801.5,-2.725892627617114,57.373220424876585,30.158800000000156
801.5,813.9399,-1.8768982666758154,56.78655108878225,15.23744999999974
813.9399,814.99,-0.39438320599868604,72.35252714526555,19.51490000000001
814.99,809.25,0.7675213315580471,85.86028366208481,14.980000000000018
809.25,807.995,1.2341311745393497,86.63726157621606,13.905750000000012
807.995,786.665,1.485506992307272,88.11834098407994,10.557300000000282
786.665,767.7716,0.2703365110981002,51.88734930293977,26.0
767.7716,712.505,-1.7821585265374207,19.795149667288122,38.0
712.505,685.245,-6.761488427968486,0.0,119.77160000000003
685.245,698.685,-11.786824283994113,0.0,43.71930000000032
698.685,697.0658,-13.961719530702887,10.358780685190135,53.309050000000184
697.0658,666.9861000000002,-15.058391851502956,9.110794250260097,140.0
666.9861000000002,668.495,-17.268079468355374,0.0,98.70190000000002
668.495,619.1828,-18.03611705405343,1.0195001618199346,47.36940000000004
619.1828,675.5,-21.207641903098303,0.0,52.72500000000002
675.5,654.60665,-18.732627584282753,28.761557286963896,166.84500000000025
654.60665,614.5,-17.6313369434966,18.0911886794765,36.059999999999945
614.5,648.755,-18.83960497254662,0.0,60.995000000000005
648.755,627.85,-16.483828467580228,17.703299826868907,49.920000000000186
627.85,626.71,-15.492076900722669,7.75418929515292,39.004999999999995
626.71,570.3683000000002,-14.105268795372378,7.9662507600886485,14.492799999999988
570.3683000000002,574.675,-16.313556088339194,0.0,64.14294999999981
574.675,603.0485,-16.739253191068343,3.3563051418870335,50.98955000000001
603.0485,614.5450000000002,-14.192959323149601,25.46839187728476,48.378900000000044
614.5450000000002,548.9603500000002,-10.798004026629357,34.867854535409194,36.27089999999998
548.9603500000002,525.0,-12.312587519317397,0.0,76.31965000000037
525.0,583.62,-14.303258133717826,0.0,143.89999999999998
583.62,581.0,-10.73485422757058,38.95016611295681,77.23509999999999
581.0,558.4449999999998,-7.665890216770478,37.2093023255814,27.791600000000017
558.4449999999998,567.8446,-6.446629804663793,25.805003061185392,47.90240000000017
567.8446,563.4300000000002,-4.30445494023509,34.62050018181085,26.38654999999983
563.4300000000002,667.845,-2.5528295890944506,31.053290776130403,20.740700000000174
667.845,670.5,6.583680226558769,100.0,134.06999999999982
670.5,672.495,13.413244590415118,100.0,45.48924999999997
672.495,666.2850000000002,18.336693995544252,100.0,22.93354999999997
666.2850000000002,626.895,21.15547238413933,95.78968778602678,21.855000000000018
626.895,617.0677499999998,20.016419893152822,69.08369775246616,52.77499999999998
617.0677499999998,630.5,18.20311519842635,62.42092952303455,28.02004999999997
630.5,622.1949999999998,17.607700820545475,71.52784840164072,25.799549999999954
622.1949999999998,623.55,16.321295854322262,65.89714905590007,22.875
623.55,642.475,15.258667869266429,57.084612012275336,15.884999999999991
642.475,641.5,15.623775252165572,73.67821131082864,31.575000000000045
641.5,630.21,15.546280318606868,72.82332310390184,14.81494999999984
630.21,639.44,14.40493958441607,61.22954201622882,14.340000000000032
639.44,635.0,13.999056293305568,69.6923852748361,10.549999999999955
635.0,622.72,13.132074510324042,32.35276871935758,7.730000000000018
622.72,615.185,11.392155357445338,10.19760136034205,13.615000000000009
615.185,611.1,9.418350308910124,0.0,23.019999999999982
611.1,585.73,7.578521231281586,0.0,15.379999999999768
585.73,569.4,4.360233382336736,0.0,44.18500000000017
569.4,562.655,0.914296573503071,0.0,44.25
562.655,563.6,-1.8973545523014614,0.0,23.899999999999977
563.6,587.995,-3.6193970865905687,1.183913806063705,8.419999999999959
587.995,582.89,-2.8347296348421924,31.746429466299194,41.799999999999955
582.89,588.245,-2.4171370607269385,25.35078927587071,14.014999999999986
588.245,486.765,-1.5196458300874358,32.4560847231911,26.0
486.765,499.72500000000014,-7.965554713588773,0.0,105.93
499.72500000000014,491.95500000000015,-11.174487625994018,8.488619616833237,49.350000000000136
491.95500000000015,462.05,-13.471543230858806,3.5011974230108733,18.524999999999864
462.05,453.415,-16.623720267730516,0.0,54.329999999999984
453.415,480.905,-18.734719314850146,0.0,45.28500000000014
480.905,441.165,-17.432856530763136,17.43349082030628,46.25
441.165,449.905,-18.566768724308485,0.0,59.85000000000008
449.905,451.095,-17.884512857267026,5.94234430242042,44.46999999999986
451.095,462.8,-16.46446921011802,6.751427794397612,26.34499999999997
462.8,454.98,-13.796579898422731,14.709681805819958,19.579999999999984
454.98,450.655,-11.718678142111465,9.392847429970084,12.20499999999987
450.655,451.16,-9.859070310091049,6.452270872994257,18.404999999999973
